viral_load_matrix	Simulated_populations/seir_viral_loads_swab.viral_loads.npz
savepath	designs/individual
start_time	0
end_time	356
LOD	100
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
Time: 181; Case frequency: 0.04226; Efficiency: 1.00; Sensitivity: 0.6012
Time: 182; Case frequency: 0.03933; Efficiency: 1.00; Sensitivity: 0.6001
Time: 183; Case frequency: 0.03659; Efficiency: 1.00; Sensitivity: 0.5997
Time: 184; Case frequency: 0.03403; Efficiency: 1.00; Sensitivity: 0.5999
Time: 185; Case frequency: 0.03169; Efficiency: 1.00; Sensitivity: 0.5997
Time: 186; Case frequency: 0.02949; Efficiency: 1.00; Sensitivity: 0.6006
Time: 187; Case frequency: 0.02743; Efficiency: 1.00; Sensitivity: 0.6004
Time: 188; Case frequency: 0.02554; Efficiency: 1.00; Sensitivity: 0.5999
Time: 189; Case frequency: 0.02378; Efficiency: 1.00; Sensitivity: 0.5989
Time: 190; Case frequency: 0.02212; Efficiency: 1.00; Sensitivity: 0.5984
Time: 191; Case frequency: 0.02058; Efficiency: 1.00; Sensitivity: 0.5981
Time: 192; Case frequency: 0.01913; Efficiency: 1.00; Sensitivity: 0.5982
Time: 193; Case frequency: 0.01781; Efficiency: 1.00; Sensitivity: 0.5985
Time: 194; Case frequency: 0.01655; Efficiency: 1.00; Sensitivity: 0.5987
Time: 195; Case frequency: 0.01540; Efficiency: 1.00; Sensitivity: 0.5990
Time: 196; Case frequency: 0.01432; Efficiency: 1.00; Sensitivity: 0.5997
Time: 197; Case frequency: 0.01333; Efficiency: 1.00; Sensitivity: 0.6007
Time: 198; Case frequency: 0.01240; Efficiency: 1.00; Sensitivity: 0.5989
Time: 199; Case frequency: 0.01154; Efficiency: 1.00; Sensitivity: 0.5998
Time: 200; Case frequency: 0.01074; Efficiency: 1.00; Sensitivity: 0.6004
Time: 201; Case frequency: 0.01000; Efficiency: 1.00; Sensitivity: 0.6003
Time: 202; Case frequency: 0.00932; Efficiency: 1.00; Sensitivity: 0.5998
Time: 203; Case frequency: 0.00868; Efficiency: 1.00; Sensitivity: 0.5990
Time: 204; Case frequency: 0.00807; Efficiency: 1.00; Sensitivity: 0.5979
Time: 205; Case frequency: 0.00750; Efficiency: 1.00; Sensitivity: 0.5988
Time: 206; Case frequency: 0.00698; Efficiency: 1.00; Sensitivity: 0.5984
Time: 207; Case frequency: 0.00649; Efficiency: 1.00; Sensitivity: 0.5991
Time: 208; Case frequency: 0.00604; Efficiency: 1.00; Sensitivity: 0.5984
Time: 209; Case frequency: 0.00561; Efficiency: 1.00; Sensitivity: 0.6000
Time: 210; Case frequency: 0.00522; Efficiency: 1.00; Sensitivity: 0.6002
Time: 211; Case frequency: 0.00485; Efficiency: 1.00; Sensitivity: 0.6016
Time: 212; Case frequency: 0.00451; Efficiency: 1.00; Sensitivity: 0.6029
Time: 213; Case frequency: 0.00419; Efficiency: 1.00; Sensitivity: 0.6026
Time: 214; Case frequency: 0.00391; Efficiency: 1.00; Sensitivity: 0.6016
Time: 215; Case frequency: 0.00364; Efficiency: 1.00; Sensitivity: 0.6001
Time: 216; Case frequency: 0.00340; Efficiency: 1.00; Sensitivity: 0.5983
Time: 217; Case frequency: 0.00316; Efficiency: 1.00; Sensitivity: 0.6007
Time: 218; Case frequency: 0.00294; Efficiency: 1.00; Sensitivity: 0.6000
Time: 219; Case frequency: 0.00274; Efficiency: 1.00; Sensitivity: 0.5981
Time: 220; Case frequency: 0.00256; Efficiency: 1.00; Sensitivity: 0.5967
Time: 221; Case frequency: 0.00237; Efficiency: 1.00; Sensitivity: 0.5984
Time: 222; Case frequency: 0.00221; Efficiency: 1.00; Sensitivity: 0.5951
Time: 223; Case frequency: 0.00206; Efficiency: 1.00; Sensitivity: 0.5966
Time: 224; Case frequency: 0.00191; Efficiency: 1.00; Sensitivity: 0.6015
Time: 225; Case frequency: 0.00178; Efficiency: 1.00; Sensitivity: 0.6009
Time: 226; Case frequency: 0.00165; Efficiency: 1.00; Sensitivity: 0.5997
Time: 227; Case frequency: 0.00154; Efficiency: 1.00; Sensitivity: 0.5987
Time: 228; Case frequency: 0.00143; Efficiency: 1.00; Sensitivity: 0.6014
Time: 229; Case frequency: 0.00133; Efficiency: 1.00; Sensitivity: 0.5994
Time: 230; Case frequency: 0.00124; Efficiency: 1.00; Sensitivity: 0.5994
Time: 231; Case frequency: 0.00115; Efficiency: 1.00; Sensitivity: 0.6013
Time: 232; Case frequency: 0.00107; Efficiency: 1.00; Sensitivity: 0.6043
Time: 233; Case frequency: 0.00099; Efficiency: 1.00; Sensitivity: 0.6034
Time: 234; Case frequency: 0.00092; Efficiency: 1.00; Sensitivity: 0.5991
Time: 235; Case frequency: 0.00086; Efficiency: 1.00; Sensitivity: 0.6012
Time: 236; Case frequency: 0.00080; Efficiency: 1.00; Sensitivity: 0.6000
Time: 237; Case frequency: 0.00075; Efficiency: 1.00; Sensitivity: 0.5991
Time: 238; Case frequency: 0.00069; Efficiency: 1.00; Sensitivity: 0.6029
Time: 239; Case frequency: 0.00065; Efficiency: 1.00; Sensitivity: 0.6085
Time: 240; Case frequency: 0.00060; Efficiency: 1.00; Sensitivity: 0.6119
Time: 241; Case frequency: 0.00056; Efficiency: 1.00; Sensitivity: 0.6038
Time: 242; Case frequency: 0.00052; Efficiency: 1.00; Sensitivity: 0.5977
Time: 243; Case frequency: 0.00049; Efficiency: 1.00; Sensitivity: 0.5987
Time: 244; Case frequency: 0.00045; Efficiency: 1.00; Sensitivity: 0.5960
Time: 245; Case frequency: 0.00042; Efficiency: 1.00; Sensitivity: 0.5948
Time: 246; Case frequency: 0.00039; Efficiency: 1.00; Sensitivity: 0.5969
Time: 247; Case frequency: 0.00036; Efficiency: 1.00; Sensitivity: 0.5981
Time: 248; Case frequency: 0.00034; Efficiency: 1.00; Sensitivity: 0.5913
Time: 249; Case frequency: 0.00032; Efficiency: 1.00; Sensitivity: 0.5873
Time: 250; Case frequency: 0.00030; Efficiency: 1.00; Sensitivity: 0.5774
Time: 251; Case frequency: 0.00028; Efficiency: 1.00; Sensitivity: 0.5878
Time: 252; Case frequency: 0.00025; Efficiency: 1.00; Sensitivity: 0.5908
Time: 253; Case frequency: 0.00024; Efficiency: 1.00; Sensitivity: 0.5976
Time: 254; Case frequency: 0.00022; Efficiency: 1.00; Sensitivity: 0.6013
Time: 255; Case frequency: 0.00021; Efficiency: 1.00; Sensitivity: 0.6086
Time: 256; Case frequency: 0.00019; Efficiency: 1.00; Sensitivity: 0.6045
Time: 257; Case frequency: 0.00018; Efficiency: 1.00; Sensitivity: 0.6138
Time: 258; Case frequency: 0.00016; Efficiency: 1.00; Sensitivity: 0.6155
Time: 259; Case frequency: 0.00015; Efficiency: 1.00; Sensitivity: 0.6015
Time: 260; Case frequency: 0.00014; Efficiency: 1.00; Sensitivity: 0.6036
Time: 261; Case frequency: 0.00013; Efficiency: 1.00; Sensitivity: 0.5990
Time: 262; Case frequency: 0.00013; Efficiency: 1.00; Sensitivity: 0.5862
Time: 263; Case frequency: 0.00012; Efficiency: 1.00; Sensitivity: 0.5964
Time: 264; Case frequency: 0.00011; Efficiency: 1.00; Sensitivity: 0.5988
Time: 265; Case frequency: 0.00010; Efficiency: 1.00; Sensitivity: 0.5835
Time: 266; Case frequency: 0.00009; Efficiency: 1.00; Sensitivity: 0.5730
Time: 267; Case frequency: 0.00009; Efficiency: 1.00; Sensitivity: 0.5804
Time: 268; Case frequency: 0.00008; Efficiency: 1.00; Sensitivity: 0.5929
Time: 269; Case frequency: 0.00007; Efficiency: 1.00; Sensitivity: 0.5907
Time: 270; Case frequency: 0.00007; Efficiency: 1.00; Sensitivity: 0.6035
Time: 271; Case frequency: 0.00006; Efficiency: 1.00; Sensitivity: 0.6074
Time: 272; Case frequency: 0.00006; Efficiency: 1.00; Sensitivity: 0.6035
Time: 273; Case frequency: 0.00006; Efficiency: 1.00; Sensitivity: 0.5954
Time: 274; Case frequency: 0.00005; Efficiency: 1.00; Sensitivity: 0.6125
Time: 275; Case frequency: 0.00005; Efficiency: 1.00; Sensitivity: 0.6115
Time: 276; Case frequency: 0.00005; Efficiency: 1.00; Sensitivity: 0.6102
Time: 277; Case frequency: 0.00004; Efficiency: 1.00; Sensitivity: 0.5813
