Sample budget,Test budget,Design samples,Design pools,Design sample split,Design runs per day,Design method,Design effectiveness
3072,48,384,48,6,1.000000,pbest,256.132808
3072,48,384,40,2,1.068798,array_16x24,293.588287
3072,48,768,12,3,1.414225,hypergraph,663.313086
3072,96,96,96,1,1.000000,individual,81.417289
3072,96,96,20,2,4.629477,array_8x12,331.829589
3072,96,384,48,6,2.000000,pbest,512.265616
3072,96,384,40,2,2.137595,array_16x24,587.176575
3072,96,1536,48,3,1.258145,hypergraph,1246.877481
3072,192,192,192,1,1.000000,individual,162.834577
3072,192,96,20,2,9.258954,array_8x12,663.659178
3072,192,384,48,6,4.000000,pbest,1024.531231
3072,192,384,40,2,4.275190,array_16x24,1174.353149
3072,192,1440,90,3,1.758963,hypergraph,1722.785915
3072,384,384,384,1,1.000000,individual,325.669155
3072,384,96,20,2,18.517909,array_8x12,1327.318356
3072,384,384,48,6,8.000000,pbest,2049.062463
3072,384,384,40,2,7.633159,array_16x24,2097.247825
3072,384,192,20,2,15.286940,hypergraph,2125.114197
3072,768,768,768,1,1.000000,individual,651.338310
3072,768,96,20,2,31.992501,array_8x12,2293.193419
3072,768,384,48,6,8.000000,pbest,2049.062463
3072,768,384,40,2,8.000000,array_16x24,2199.290381
3072,768,384,64,1,7.948677,hypergraph,2375.076307
3072,1536,1536,1536,1,1.000000,individual,1302.676619
3072,1536,96,20,2,32.000000,array_8x12,2293.732873
3072,1536,384,48,6,8.000000,pbest,2049.062463
3072,1536,384,40,2,8.000000,array_16x24,2199.290381
3072,1536,384,128,1,8.000000,hypergraph,2481.804028
3072,3072,3072,3072,1,1.000000,individual,2605.353239
3072,3072,96,20,2,32.000000,array_8x12,2293.732873
3072,3072,384,48,6,8.000000,pbest,2049.062463
3072,3072,384,40,2,8.000000,array_16x24,2199.290381
3072,3072,400,200,1,7.680000,hypergraph,2530.209889
3072,6144,3072,3072,1,1.000000,individual,2605.353239
3072,6144,96,20,2,32.000000,array_8x12,2293.732873
3072,6144,384,48,6,8.000000,pbest,2049.062463
3072,6144,384,40,2,8.000000,array_16x24,2199.290381
3072,6144,400,200,1,7.680000,hypergraph,2530.209889
6144,12,12,12,1,1.000000,individual,10.177161
6144,12,192,6,2,0.949795,hypergraph,122.185209
6144,24,24,24,1,1.000000,individual,20.354322
6144,24,96,20,2,1.157369,array_8x12,82.957397
6144,24,400,12,3,1.119934,hypergraph,289.088637
6144,48,48,48,1,1.000000,individual,40.708644
6144,48,96,20,2,2.314739,array_8x12,165.914794
6144,48,384,48,6,1.000000,pbest,256.132808
6144,48,384,40,2,1.068798,array_16x24,293.588287
6144,48,768,12,3,1.414225,hypergraph,663.313086
6144,96,96,96,1,1.000000,individual,81.417289
6144,96,96,20,2,4.629477,array_8x12,331.829589
6144,96,384,48,6,2.000000,pbest,512.265616
6144,96,384,40,2,2.137595,array_16x24,587.176575
6144,96,1536,24,3,1.600558,hypergraph,1500.941578
6144,192,192,192,1,1.000000,individual,162.834577
6144,192,96,20,2,9.258954,array_8x12,663.659178
6144,192,384,48,6,4.000000,pbest,1024.531231
6144,192,384,40,2,4.275190,array_16x24,1174.353149
6144,192,2880,90,3,1.363421,hypergraph,2539.777292
6144,384,384,384,1,1.000000,individual,325.669155
6144,384,96,20,2,18.517909,array_8x12,1327.318356
6144,384,384,48,6,8.000000,pbest,2049.062463
6144,384,384,40,2,8.550381,array_16x24,2348.706298
6144,384,1440,90,3,3.517927,hypergraph,3445.571830
6144,768,768,768,1,1.000000,individual,651.338310
6144,768,96,20,2,37.035817,array_8x12,2654.636712
6144,768,384,48,6,16.000000,pbest,4098.124926
6144,768,384,40,2,15.266318,array_16x24,4194.495651
6144,768,192,20,2,30.573879,hypergraph,4250.228394
6144,1536,1536,1536,1,1.000000,individual,1302.676619
6144,1536,96,20,2,63.985001,array_8x12,4586.386838
6144,1536,384,48,6,16.000000,pbest,4098.124926
6144,1536,384,40,2,16.000000,array_16x24,4398.580763
6144,1536,384,64,1,15.897353,hypergraph,4750.152613
6144,3072,3072,3072,1,1.000000,individual,2605.353239
6144,3072,96,20,2,64.000000,array_8x12,4587.465746
6144,3072,384,48,6,16.000000,pbest,4098.124926
6144,3072,384,40,2,16.000000,array_16x24,4398.580763
6144,3072,384,128,1,16.000000,hypergraph,4963.608055
6144,6144,6144,6144,1,1.000000,individual,5210.706477
6144,6144,96,20,2,64.000000,array_8x12,4587.465746
6144,6144,384,48,6,16.000000,pbest,4098.124926
6144,6144,384,40,2,16.000000,array_16x24,4398.580763
6144,6144,400,200,1,15.360000,hypergraph,5060.419779
