viral_load_matrix	../simulation/Simulated_populations/seir_viral_loads_swab.viral_loads.npz
savepath	designs/individual
start_time	0
end_time	356
LOD	4.0
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
Time: 157; Case frequency: 0.20194; Efficiency: 1.00; Sensitivity: 0.8716
Time: 158; Case frequency: 0.19162; Efficiency: 1.00; Sensitivity: 0.8695
Time: 159; Case frequency: 0.18157; Efficiency: 1.00; Sensitivity: 0.8671
Time: 160; Case frequency: 0.17177; Efficiency: 1.00; Sensitivity: 0.8647
Time: 161; Case frequency: 0.16219; Efficiency: 1.00; Sensitivity: 0.8626
Time: 162; Case frequency: 0.15289; Efficiency: 1.00; Sensitivity: 0.8608
Time: 163; Case frequency: 0.14394; Efficiency: 1.00; Sensitivity: 0.8588
Time: 164; Case frequency: 0.13534; Efficiency: 1.00; Sensitivity: 0.8573
Time: 165; Case frequency: 0.12712; Efficiency: 1.00; Sensitivity: 0.8559
Time: 166; Case frequency: 0.11924; Efficiency: 1.00; Sensitivity: 0.8545
Time: 167; Case frequency: 0.11179; Efficiency: 1.00; Sensitivity: 0.8529
Time: 168; Case frequency: 0.10465; Efficiency: 1.00; Sensitivity: 0.8518
Time: 169; Case frequency: 0.09791; Efficiency: 1.00; Sensitivity: 0.8506
Time: 170; Case frequency: 0.09154; Efficiency: 1.00; Sensitivity: 0.8492
Time: 171; Case frequency: 0.08555; Efficiency: 1.00; Sensitivity: 0.8485
Time: 172; Case frequency: 0.07983; Efficiency: 1.00; Sensitivity: 0.8481
Time: 173; Case frequency: 0.07454; Efficiency: 1.00; Sensitivity: 0.8473
Time: 174; Case frequency: 0.06952; Efficiency: 1.00; Sensitivity: 0.8462
Time: 175; Case frequency: 0.06484; Efficiency: 1.00; Sensitivity: 0.8453
Time: 176; Case frequency: 0.06043; Efficiency: 1.00; Sensitivity: 0.8443
Time: 177; Case frequency: 0.05627; Efficiency: 1.00; Sensitivity: 0.8442
Time: 178; Case frequency: 0.05243; Efficiency: 1.00; Sensitivity: 0.8437
Time: 179; Case frequency: 0.04882; Efficiency: 1.00; Sensitivity: 0.8431
Time: 180; Case frequency: 0.04543; Efficiency: 1.00; Sensitivity: 0.8431
Time: 181; Case frequency: 0.04226; Efficiency: 1.00; Sensitivity: 0.8428
Time: 182; Case frequency: 0.03933; Efficiency: 1.00; Sensitivity: 0.8417
Time: 183; Case frequency: 0.03659; Efficiency: 1.00; Sensitivity: 0.8427
Time: 184; Case frequency: 0.03403; Efficiency: 1.00; Sensitivity: 0.8430
Time: 185; Case frequency: 0.03169; Efficiency: 1.00; Sensitivity: 0.8424
Time: 186; Case frequency: 0.02949; Efficiency: 1.00; Sensitivity: 0.8423
Time: 187; Case frequency: 0.02743; Efficiency: 1.00; Sensitivity: 0.8428
Time: 188; Case frequency: 0.02554; Efficiency: 1.00; Sensitivity: 0.8424
Time: 189; Case frequency: 0.02378; Efficiency: 1.00; Sensitivity: 0.8419
Time: 190; Case frequency: 0.02212; Efficiency: 1.00; Sensitivity: 0.8417
Time: 191; Case frequency: 0.02058; Efficiency: 1.00; Sensitivity: 0.8419
Time: 192; Case frequency: 0.01913; Efficiency: 1.00; Sensitivity: 0.8422
Time: 193; Case frequency: 0.01781; Efficiency: 1.00; Sensitivity: 0.8415
Time: 194; Case frequency: 0.01655; Efficiency: 1.00; Sensitivity: 0.8413
Time: 195; Case frequency: 0.01540; Efficiency: 1.00; Sensitivity: 0.8420
Time: 196; Case frequency: 0.01432; Efficiency: 1.00; Sensitivity: 0.8424
Time: 197; Case frequency: 0.01333; Efficiency: 1.00; Sensitivity: 0.8422
Time: 198; Case frequency: 0.01240; Efficiency: 1.00; Sensitivity: 0.8422
Time: 199; Case frequency: 0.01154; Efficiency: 1.00; Sensitivity: 0.8418
Time: 200; Case frequency: 0.01074; Efficiency: 1.00; Sensitivity: 0.8428
Time: 201; Case frequency: 0.01000; Efficiency: 1.00; Sensitivity: 0.8435
Time: 202; Case frequency: 0.00932; Efficiency: 1.00; Sensitivity: 0.8426
Time: 203; Case frequency: 0.00868; Efficiency: 1.00; Sensitivity: 0.8404
Time: 204; Case frequency: 0.00807; Efficiency: 1.00; Sensitivity: 0.8415
Time: 205; Case frequency: 0.00750; Efficiency: 1.00; Sensitivity: 0.8423
Time: 206; Case frequency: 0.00698; Efficiency: 1.00; Sensitivity: 0.8412
Time: 207; Case frequency: 0.00649; Efficiency: 1.00; Sensitivity: 0.8424
Time: 208; Case frequency: 0.00604; Efficiency: 1.00; Sensitivity: 0.8408
Time: 209; Case frequency: 0.00561; Efficiency: 1.00; Sensitivity: 0.8419
